Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
A0A1U7Q4N0	unreviewed	Major prion protein	Prnp	Prnp	5 out of 5	Amyloid;Cell membrane;Copper;Disulfide bond;Membrane;Metal-binding;Prion;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; inclusion body [GO:0016234]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; terminal bouton [GO:0043195]
A0A1U8C9M8	unreviewed	Protein S100 (S100 calcium-binding protein)	S100a16	S100a16	2 out of 5	Calcium;Metal-binding;Reference proteome;Repeat	cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]
A0A1U8BM42	unreviewed	transmembrane protein 266	Tmem266	Tmem266	2 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U8BPU9	unreviewed	pleckstrin homology domain-containing family M member 3 isoform X1	Plekhm3	Plekhm3	1 out of 5	Reference proteome	Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]
A0A1U7R0H2	unreviewed	protein kinase C and casein kinase substrate in neurons protein 1	Pacsin1	Pacsin1	2 out of 5	Coiled coil;Kinase;Reference proteome;SH3 domain;Transferase	COPI-coated vesicle [GO:0030137]; photoreceptor ribbon synapse [GO:0098684]; presynaptic endocytic zone [GO:0098833]; ruffle membrane [GO:0032587]
A0A1U8C831	unreviewed	Tetraspanin	Tspan12	Tspan12	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U8CRZ8	unreviewed	Vomeronasal type-1 receptor	LOC101835663	LOC101835663 LOC101835400	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Pheromone response;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QQR9	unreviewed	low-density lipoprotein receptor-related protein 12 isoform X1	Lrp12	Lrp12	2 out of 5	Disulfide bond;Lipoprotein;Receptor;Reference proteome;Signal	integral component of plasma membrane [GO:0005887]
A0A3Q0CZW5	unreviewed	Transmembrane channel-like protein	Tmc5	Tmc5	2 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U8BKM1	unreviewed	small cell adhesion glycoprotein isoform X2	Smagp	Smagp	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell junction [GO:0030054]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
A0A1U7R951	unreviewed	atypical chemokine receptor 3	Ackr3	Ackr3	2 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; clathrin-coated pit [GO:0005905]; endosome [GO:0005768]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]
A0A1U7Q9Z1	unreviewed	olfactory receptor 1A1-like	LOC101844265	LOC101844265	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0CTV1	unreviewed	Anoctamin	Ano9	Ano9	2 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QD61	unreviewed	Olfactory receptor	LOC101835643	LOC101835643	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7RET3	unreviewed	Vomeronasal type-1 receptor	LOC101834146	LOC101834146	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Pheromone response;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QHY1	unreviewed	dual specificity protein phosphatase 22 isoform X1	Dusp22	Dusp22	3 out of 5	Reference proteome	cytoplasm [GO:0005737]; filamentous actin [GO:0031941]; leading edge of lamellipodium [GO:0061851]; plasma membrane [GO:0005886]
A0A3Q0CUY5	unreviewed	heat shock-related 70 kDa protein 2	Hspa2	Hspa2	3 out of 5	ATP-binding;Nucleotide-binding;Reference proteome;Stress response	CatSper complex [GO:0036128]; cell surface [GO:0009986]; cytosol [GO:0005829]; male germ cell nucleus [GO:0001673]; meiotic spindle [GO:0072687]; synaptonemal complex [GO:0000795]
A0A1U7Q5C3	unreviewed	Olfactory receptor	LOC101839878	LOC101839878	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QNN4	unreviewed	tumor necrosis factor ligand superfamily member 6 isoform X1	Faslg	Faslg	3 out of 5	Cytokine;Membrane;Reference proteome;Secreted;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]
A0A1U7Q4H7	unreviewed	beta-1 adrenergic receptor	Adrb1	Adrb1	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CQG6	unreviewed	LOW QUALITY PROTEIN: olfactory receptor 52E5	LOC101832866	LOC101832866	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CQQ4	unreviewed	epsilon-sarcoglycan isoform X4	Sgce	Sgce	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]
A0A1U7QXG1	unreviewed	Olfactory receptor	LOC101844305	LOC101844305	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QG41	unreviewed	probable G-protein coupled receptor 156	Gpr156	Gpr156	2 out of 5	Coiled coil;Membrane;Receptor;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q561	unreviewed	olfactory receptor 149-like	LOC101839012	LOC101839012	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0CU54	unreviewed	TBC1 domain family member 5 isoform X2	Tbc1d5	Tbc1d5	2 out of 5	Coiled coil;Reference proteome	AP-2 adaptor complex [GO:0030122]; Atg1/ULK1 kinase complex [GO:1990316]; autophagosome [GO:0005776]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; retromer complex [GO:0030904]
A0A1U7QM71	unreviewed	V-type proton ATPase subunit G	Atp6v1g1	Atp6v1g1	3 out of 5	Coiled coil;Hydrogen ion transport;Ion transport;Reference proteome;Transport	cell [GO:0005623]; cytosol [GO:0005829]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]
A0A1U7R4H2	unreviewed	Olfactory receptor	LOC101824402	LOC101824402	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QJJ5	unreviewed	neuronal acetylcholine receptor subunit alpha-2 isoform X1	Chrna2	Chrna2	2 out of 5	Cell junction;Cell membrane;Disulfide bond;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Synapse;Transmembrane;Transmembrane helix;Transport	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]
A0A1U8CBK3	unreviewed	Olfactory receptor	LOC101844670	LOC101844670	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QH48	unreviewed	Protein C-ets-2	Ets2	Ets2	2 out of 5	DNA-binding;Nucleus;Reference proteome;Transcription;Transcription regulation	cytosol [GO:0005829]; host cell nucleus [GO:0042025]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
A0A3Q0CM62	unreviewed	integrin alpha-X	Itgax	Itgax	2 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integrin complex [GO:0008305]
A0A1U7Q5Q7	unreviewed	Vesicle-fusing ATPase (EC 3.6.4.6)	Nsf	Nsf	3 out of 5	ATP-binding;Coiled coil;Cytoplasm;ER-Golgi transport;Hydrolase;Magnesium;Metal-binding;Nucleotide-binding;Protein transport;Reference proteome;Transport	cytosol [GO:0005829]; plasma membrane [GO:0005886]
A0A1U7QNL6	unreviewed	podocin	Nphs2	Nphs2	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; membrane raft [GO:0045121]; protein-containing complex [GO:0032991]; slit diaphragm [GO:0036057]
A0A3Q0CL00	unreviewed	acetylcholine receptor subunit beta	Chrnb1	Chrnb1	2 out of 5	Cell junction;Cell membrane;Disulfide bond;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]
A0A1U7QG82	unreviewed	disks large homolog 1 isoform X3	Dlg1	Dlg1	5 out of 5	Coiled coil;Reference proteome;SH3 domain	basement membrane [GO:0005604]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cell [GO:0005623]; cell projection membrane [GO:0031253]; cytoplasmic side of plasma membrane [GO:0009898]; endoplasmic reticulum [GO:0005783]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; immunological synapse [GO:0001772]; lateral loop [GO:0043219]; lateral plasma membrane [GO:0016328]; membrane raft [GO:0045121]; microtubule [GO:0005874]; MPP7-DLG1-LIN7 complex [GO:0097025]; myelin sheath abaxonal region [GO:0035748]; neuromuscular junction [GO:0031594]; node of Ranvier [GO:0033268]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic density [GO:0014069]; synaptic membrane [GO:0097060]
A0A1U7QL26	unreviewed	TNF receptor-associated factor (EC 2.3.2.27)	Traf3	Traf3	4 out of 5	Coiled coil;Cytoplasm;Metal-binding;Receptor;Reference proteome;Zinc;Zinc-finger	CD40 receptor complex [GO:0035631]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]
A0A1U8BQN9	unreviewed	neuroplastin isoform X1	Nptn	Nptn	2 out of 5	Immunoglobulin domain;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell [GO:0005623]; immunological synapse [GO:0001772]; integral component of membrane [GO:0016021]
A0A3Q0DEZ7	unreviewed	glutamate receptor ionotropic, NMDA 2D	Grin2d	Grin2d	2 out of 5	Cell junction;Cell membrane;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]
A0A1U7QC85	unreviewed	leucine-rich repeat transmembrane neuronal protein 3	Lrrtm3	Lrrtm3	2 out of 5	Leucine-rich repeat;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	glutamatergic synapse [GO:0098978]; integral component of postsynaptic density membrane [GO:0099061]
A0A1U7Q2L0	unreviewed	Olfactory receptor	LOC101844329	LOC101844329	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7RBG7	unreviewed	neurogenic locus notch homolog protein 1 isoform X1	Notch1	Notch1	5 out of 5	ANK repeat;Calcium;Disulfide bond;EGF-like domain;Metal-binding;Reference proteome;Repeat;Signal	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; MAML1-RBP-Jkappa- ICN1 complex [GO:0002193]; nucleus [GO:0005634]; receptor complex [GO:0043235]
A0A1U7Q9E8	unreviewed	5-hydroxytryptamine receptor 1B	Htr1b	Htr1b	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cytoplasm [GO:0005737]; integral component of presynaptic membrane [GO:0099056]; serotonergic synapse [GO:0099154]
A0A1U7QKC7	unreviewed	Olfactory receptor	LOC101830500	LOC101830500	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q2P8	unreviewed	opalin isoform X1	Opalin	Opalin	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell-cell contact zone [GO:0044291]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CD96	unreviewed	syntaxin-2 isoform X1	Stx2	Stx2	2 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	basolateral plasma membrane [GO:0016323]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; protein-containing complex [GO:0032991]
A0A1U7QKS8	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	Csk	Csk	2 out of 5	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;SH2 domain;SH3 domain;Transferase;Tyrosine-protein kinase	cell-cell junction [GO:0005911]; plasma membrane [GO:0005886]
C6L448	unreviewed	lysophosphatidic acid receptor 6 (p2Y5)	P2Y5	P2Y5 Lpar6	1 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8BQK6	unreviewed	sodium channel subunit beta-3	Scn3b	Scn3b	3 out of 5	Ion channel;Ion transport;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	voltage-gated sodium channel complex [GO:0001518]; Z disc [GO:0030018]
A0A1U8BN84	unreviewed	cAMP-dependent protein kinase type I-alpha regulatory subunit	Prkar1a	Prkar1a	3 out of 5	Nucleotide-binding;Reference proteome;cAMP;cAMP-binding	axoneme [GO:0005930]; cAMP-dependent protein kinase complex [GO:0005952]; centrosome [GO:0005813]; glutamatergic synapse [GO:0098978]; immunological synapse [GO:0001772]; multivesicular body [GO:0005771]; neuromuscular junction [GO:0031594]; nucleotide-activated protein kinase complex [GO:0031588]; plasma membrane raft [GO:0044853]; sperm connecting piece [GO:0097224]
A0A1U8C2A8	unreviewed	DNA damage-regulated autophagy modulator protein 2 isoform X1	Dram2	Dram2	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	apical plasma membrane [GO:0016324]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; photoreceptor inner segment [GO:0001917]
A0A1U8BI19	unreviewed	transient receptor potential cation channel subfamily V member 2	Trpv2	Trpv2	2 out of 5	ANK repeat;Ion channel;Ion transport;Membrane;Receptor;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
D0G6X2	unreviewed	Collagen type VI alpha 2 subunit (collagen alpha-2(VI) chain precursor)	COL6A2	COL6A2 Col6a2	2 out of 5	Collagen;Reference proteome;Signal	collagen trimer [GO:0005581]; extracellular matrix [GO:0031012]; sarcolemma [GO:0042383]
A0A1U7Q6W2	unreviewed	RAF proto-oncogene serine/threonine-protein kinase	Raf1	Raf1	4 out of 5	ATP-binding;Kinase;Metal-binding;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase;Zinc	cell [GO:0005623]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]
A0A1U8CGF1	unreviewed	D(1A) dopamine receptor	Drd1	Drd1	5 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	9+0 non-motile cilium [GO:0097731]; cell [GO:0005623]; ciliary membrane [GO:0060170]; dendritic spine [GO:0043197]; endoplasmic reticulum [GO:0005783]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; nucleus [GO:0005634]
A0A3Q0CF00	unreviewed	contactin-2	Cntn2	Cntn2	1 out of 5	Immunoglobulin domain;Reference proteome;Repeat;Signal	plasma membrane [GO:0005886]
A0A1U7QU48	unreviewed	macrophage colony-stimulating factor 1 receptor isoform X1	Csf1r	Csf1r	5 out of 5	ATP-binding;Disulfide bond;Immunoglobulin domain;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	cell surface [GO:0009986]; CSF1-CSF1R complex [GO:1990682]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
A0A3Q0DD46	unreviewed	sodium- and chloride-dependent glycine transporter 1 isoform X4	Slc6a9	Slc6a9	1 out of 5	Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	integral component of plasma membrane [GO:0005887]
A0A1U8C6Z9	unreviewed	Olfactory receptor	LOC101830201	LOC101830201	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QA43	unreviewed	putative olfactory receptor 10D4	LOC101823631	LOC101823631	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CHE4	unreviewed	Transporter	Slc6a9	Slc6a9	2 out of 5	Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	integral component of plasma membrane [GO:0005887]
A0A1B3B4Y9	unreviewed	CD320 (CD320 antigen)	Cd320	Cd320	2 out of 5	Disulfide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	endoplasmic reticulum [GO:0005783]; integral component of plasma membrane [GO:0005887]
A0A1U8BK12	unreviewed	leucine-rich repeat transmembrane protein FLRT3	Flrt3	Flrt3	3 out of 5	Disulfide bond;Leucine-rich repeat;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	axonal growth cone [GO:0044295]; cell-cell junction [GO:0005911]; cytosol [GO:0005829]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic membrane [GO:0099055]
A0A1U7QEL0	unreviewed	caspase-8 isoform X1	Casp8	Casp8	3 out of 5	Hydrolase;Protease;Reference proteome;Thiol protease	CD95 death-inducing signaling complex [GO:0031265]; nucleoplasm [GO:0005654]; ripoptosome [GO:0097342]
A0A1U7Q3R9	unreviewed	sodium-dependent phosphate transport protein 4 isoform X2	Slc17a3	Slc17a3	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	apical plasma membrane [GO:0016324]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; perinuclear region of cytoplasm [GO:0048471]
A0A3Q0CRP9	unreviewed	Transmembrane channel-like protein	Tmc8	Tmc8	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U8BPL5	unreviewed	LIM and senescent cell antigen-like-containing domain protein	Lims1	Lims1	2 out of 5	Cell junction;Cell membrane;LIM domain;Membrane;Metal-binding;Reference proteome;Zinc	focal adhesion [GO:0005925]; plasma membrane [GO:0005886]
A0A1U8BND3	unreviewed	leucine-rich repeat transmembrane protein FLRT2	Flrt2	Flrt2	2 out of 5	Leucine-rich repeat;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	cell-cell junction [GO:0005911]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]
A0A3Q0CWY9	unreviewed	toll-like receptor 7 isoform X1	Tlr7	Tlr7	3 out of 5	Immunity;Innate immunity;Leucine-rich repeat;Membrane;Receptor;Reference proteome;Repeat;Transmembrane;Transmembrane helix	early phagosome [GO:0032009]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
A0A1U7QMT5	unreviewed	substance-K receptor	Tacr2	Tacr2	2 out of 5	Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sperm head [GO:0061827]; sperm midpiece [GO:0097225]
A0A1U7QUC4	unreviewed	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1)	Mc1r	Mc1r	3 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0DGT8	unreviewed	Vomeronasal type-1 receptor	LOC106022472	LOC106022472	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Pheromone response;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0CQN8	unreviewed	protocadherin-1 isoform X1	Pcdh1	Pcdh1	1 out of 5	Calcium;Cell adhesion;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QE91	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	Egfr	Egfr	5 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	basolateral plasma membrane [GO:0016323]; cell junction [GO:0030054]; cell surface [GO:0009986]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; multivesicular body, internal vesicle lumen [GO:0097489]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; receptor complex [GO:0043235]
A0A1U7QNF6	unreviewed	Protein kinase C (EC 2.7.11.13)	Prkci	Prkci	5 out of 5	ATP-binding;Kinase;Metal-binding;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase;Zinc;Zinc-finger	apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; Schmidt-Lanterman incisure [GO:0043220]
A0A1U7RDZ4	unreviewed	Vomeronasal type-1 receptor	LOC101841589	LOC101841589	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Pheromone response;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CUJ3	unreviewed	Phosphorylase b kinase regulatory subunit	LOC106022783	LOC106022783	2 out of 5	Calmodulin-binding;Carbohydrate metabolism;Cell membrane;Glycogen metabolism;Lipoprotein;Membrane;Prenylation;Reference proteome	plasma membrane [GO:0005886]
A0A1U8BLF0	unreviewed	neuronal acetylcholine receptor subunit alpha-5	Chrna5	Chrna5	1 out of 5	Cell junction;Cell membrane;Disulfide bond;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Synapse;Transmembrane;Transmembrane helix;Transport	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]
A0A1U7QY71	unreviewed	serine protease 33-like	LOC101835870	LOC101835870	1 out of 5	Disulfide bond;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Signal;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8BI95	unreviewed	peregrin isoform X3	Brpf1	Brpf1	2 out of 5	Bromodomain;Metal-binding;Reference proteome;Zinc;Zinc-finger	cytosol [GO:0005829]; MOZ/MORF histone acetyltransferase complex [GO:0070776]; plasma membrane [GO:0005886]
A0A1U8CCJ7	unreviewed	voltage-dependent T-type calcium channel subunit alpha-1H isoform X3	Cacna1h	Cacna1h	1 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	voltage-gated calcium channel complex [GO:0005891]
A0A1U7QD78	unreviewed	potassium voltage-gated channel subfamily D member 3 isoform X2	Kcnd3	Kcnd3	2 out of 5	Coiled coil;Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	voltage-gated potassium channel complex [GO:0008076]
A0A1U7R1G0	unreviewed	G-protein coupled receptor 20	Gpr20	Gpr20	2 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cytosol [GO:0005829]; integral component of plasma membrane [GO:0005887]; receptor complex [GO:0043235]
A0A1U7QT36	unreviewed	olfactory receptor 51I2-like	LOC101835852	LOC101835852	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QDE3	unreviewed	Olfactory receptor	LOC101833629	LOC101833629	2 out of 5	Cell membrane;Coiled coil;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q9V0	unreviewed	Olfactory receptor	LOC101834021	LOC101834021	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QYV9	unreviewed	Transporter	Slc6a9	Slc6a9	2 out of 5	Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	integral component of plasma membrane [GO:0005887]
