Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
F7HSW0	unreviewed	Serpin family E member 2	SERPINE2	SERPINE2	4 out of 5	Reference proteome;Signal	collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; extracellular space [GO:0005615]; extrinsic component of external side of plasma membrane [GO:0031232]; neuromuscular junction [GO:0031594]; platelet alpha granule [GO:0031091]
F7FJZ1	unreviewed	Sulfatase 1	SULF1	SULF1	4 out of 5	Coiled coil;Reference proteome;Signal	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
Q9MZJ7	reviewed	NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314)	KLRK1	KLRK1 NKG2D	4 out of 5	Adaptive immunity;Cell membrane;Differentiation;Disulfide bond;Glycoprotein;Immunity;Innate immunity;Lectin;Membrane;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6WP35	unreviewed	Uncharacterized protein	SLC7A11	SLC7A11	4 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	apical part of cell [GO:0045177]; astrocyte projection [GO:0097449]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]
F7GXE0	unreviewed	Integrin subunit alpha 5	ITGA5	ITGA5	4 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Transmembrane;Transmembrane helix	cell-cell junction [GO:0005911]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; integrin alpha5-beta1 complex [GO:0034674]; ruffle membrane [GO:0032587]; synapse [GO:0045202]
F7GPN9	unreviewed	Ectonucleotide pyrophosphatase/phosphodiesterase 1	ENPP1	ENPP1	4 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell [GO:0005623]; cell surface [GO:0009986]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
F7GZC7	unreviewed	Ephrin-A5	EFNA5	EFNA5	4 out of 5	Disulfide bond;Membrane;Reference proteome;Signal	adherens junction [GO:0005912]; anchored component of external side of plasma membrane [GO:0031362]; basement membrane [GO:0005604]; GABA-ergic synapse [GO:0098982]; plasma membrane [GO:0005886]
F6PP70	unreviewed	Chloride intracellular channel protein	CLIC4	CLIC4	4 out of 5	Chloride;Chloride channel;Cytoplasm;Ion channel;Ion transport;Reference proteome;Transport;Voltage-gated channel	apical part of cell [GO:0045177]; cell [GO:0005623]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; centrosome [GO:0005813]; chloride channel complex [GO:0034707]; cytosol [GO:0005829]; microvillus [GO:0005902]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
A0A1D5Q8S4	unreviewed	Growth hormone releasing hormone receptor	GHRHR	GHRHR	4 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]; nuclear matrix [GO:0016363]; nuclear outer membrane [GO:0005640]; plasma membrane [GO:0005886]; secretory granule [GO:0030141]
Q0PDN4	unreviewed	CD28 (T-cell-specific surface glycoprotein CD28)	CD28	CD28	4 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; immunological synapse [GO:0001772]; integral component of membrane [GO:0016021]; protein complex involved in cell adhesion [GO:0098636]
F6WN92	unreviewed	Erythropoietin	EPO	EPO	4 out of 5	Disulfide bond;Erythrocyte maturation;Hormone;Reference proteome;Secreted;Signal	cell surface [GO:0009986]; extracellular space [GO:0005615]
F6UZ87	unreviewed	Fibrinogen beta chain	FGB	FGB	4 out of 5	Coiled coil;Disulfide bond;Reference proteome;Signal	cell cortex [GO:0005938]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; fibrinogen complex [GO:0005577]; platelet alpha granule [GO:0031091]; synapse [GO:0045202]
F6TKR2	unreviewed	Bone morphogenetic protein 10	BMP10	BMP10	4 out of 5	Disulfide bond;Growth factor;Reference proteome;Secreted	cell surface [GO:0009986]; extracellular space [GO:0005615]; Z disc [GO:0030018]
F7BZD3	unreviewed	Integrin alpha-6 isoform a	ITGA6	ITGA6	4 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	basal plasma membrane [GO:0009925]; basement membrane [GO:0005604]; external side of plasma membrane [GO:0009897]; hemidesmosome [GO:0030056]; integrin complex [GO:0008305]
Q8WNQ8	reviewed	TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12)	TYROBP	TYROBP DAP12	4 out of 5	Cell membrane;Disulfide bond;Immunity;Membrane;Metal-binding;Phosphoprotein;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
I0FI24	unreviewed	Nectin cell adhesion molecule 2 (Poliovirus receptor-related protein 2 isoform delta)	NECTIN2	NECTIN2 PVRL2	4 out of 5	Coiled coil;Disulfide bond;Immunoglobulin domain;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell-cell contact zone [GO:0044291]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; zonula adherens [GO:0005915]
A0A1D5RJF9	unreviewed	Uncharacterized protein	GRIA1	GRIA1	4 out of 5	Cell junction;Cell membrane;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Synapse;Transmembrane;Transmembrane helix;Transport	AMPA glutamate receptor complex [GO:0032281]; axonal spine [GO:0044308]; cell surface [GO:0009986]; dendritic spine [GO:0043197]; dendritic spine membrane [GO:0032591]; endoplasmic reticulum [GO:0005783]; excitatory synapse [GO:0060076]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic density membrane [GO:0099061]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]; recycling endosome [GO:0055037]; synaptic vesicle [GO:0008021]
F7DTG0	unreviewed	Membrane cofactor protein	CD46	CD46	4 out of 5	Disulfide bond;Fertilization;Membrane;Reference proteome;Signal;Sushi;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; extracellular region [GO:0005576]; inner acrosomal membrane [GO:0002079]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
F7DHR8	unreviewed	Transferrin	TF	TF	4 out of 5	Reference proteome	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cell [GO:0005623]; clathrin-coated pit [GO:0005905]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; extracellular space [GO:0005615]; extrinsic component of external side of plasma membrane [GO:0031232]; HFE-transferrin receptor complex [GO:1990712]; late endosome [GO:0005770]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]
F7EW76	unreviewed	Thy-1 membrane glycoprotein	THY1	THY1	4 out of 5	Reference proteome	anchored component of external side of plasma membrane [GO:0031362]; apical plasma membrane [GO:0016324]; cell [GO:0005623]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; membrane raft [GO:0045121]
F7HPK9	unreviewed	Complement C1q binding protein	C1QBP	C1QBP	4 out of 5	Reference proteome	cell surface [GO:0009986]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
F6ZDZ8	unreviewed	Uncharacterized protein	CD44	CD44	4 out of 5	Reference proteome	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; lamellipodium membrane [GO:0031258]; macrophage migration inhibitory factor receptor complex [GO:0035692]; plasma membrane [GO:0005886]
A0A1D5REV0	unreviewed	RING finger and CCCH-type zinc finger domain-containing protein 2 isoform 1	RC3H2	RC3H2	4 out of 5	Coiled coil;Metal-binding;Reference proteome;Zinc;Zinc-finger	cell surface [GO:0009986]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]
F7EV32	unreviewed	Uncharacterized protein	C3	C3	4 out of 5	Coiled coil;Disulfide bond;Reference proteome;Secreted;Signal	cell surface [GO:0009986]; extracellular space [GO:0005615]; protein-containing complex [GO:0032991]
F6WPI5	unreviewed	Beta-1,4-galactosyltransferase 1	B4GALT1	B4GALT1	4 out of 5	Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; desmosome [GO:0030057]; external side of plasma membrane [GO:0009897]; Golgi trans cisterna [GO:0000138]; integral component of membrane [GO:0016021]
F7E738	unreviewed	Protein Wnt	WNT2	WNT2	4 out of 5	Developmental protein;Disulfide bond;Extracellular matrix;Reference proteome;Secreted;Wnt signaling pathway	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; extrinsic component of external side of plasma membrane [GO:0031232]
F7ET74	unreviewed	Cholinergic receptor nicotinic alpha 1 subunit	CHRNA1	CHRNA1	4 out of 5	Cell junction;Cell membrane;Disulfide bond;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Synapse;Transmembrane;Transmembrane helix;Transport	acetylcholine-gated channel complex [GO:0005892]; cell [GO:0005623]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic specialization membrane [GO:0099060]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; synapse [GO:0045202]
F6WTL5	unreviewed	Angiomotin	AMOT	AMOT	4 out of 5	Coiled coil;Reference proteome	actin filament [GO:0005884]; bicellular tight junction [GO:0005923]; COP9 signalosome [GO:0008180]; endocytic vesicle [GO:0030139]; external side of plasma membrane [GO:0009897]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; ruffle [GO:0001726]
F7FXB6	unreviewed	Uncharacterized protein	IL6ST	IL6ST	4 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	ciliary neurotrophic factor receptor complex [GO:0070110]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; interleukin-6 receptor complex [GO:0005896]; neuronal cell body [GO:0043025]; oncostatin-M receptor complex [GO:0005900]; receptor complex [GO:0043235]
F6PJN1	unreviewed	CD274 molecule	CD274	CD274	4 out of 5	Coiled coil;Disulfide bond;Immunoglobulin domain;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; early endosome membrane [GO:0031901]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; recycling endosome membrane [GO:0055038]
Q8WMH2	reviewed	Neuroligin-3 (Gliotactin homolog) (Fragment)	NLGN3	NLGN3	3 out of 5	Cell adhesion;Cell junction;Cell membrane;Disulfide bond;Glycoprotein;Membrane;Reference proteome;Synapse	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; presynapse [GO:0098793]; synapse [GO:0045202]
F6XEI3	unreviewed	Hepsin	HPN	HPN	4 out of 5	Disulfide bond;Reference proteome	cell-cell junction [GO:0005911]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]
A0A1D5QA06	unreviewed	ANK_REP_REGION domain-containing protein	TRPC4	TRPC4	4 out of 5	ANK repeat;Coiled coil;Ion channel;Ion transport;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	basolateral plasma membrane [GO:0016323]; calcium channel complex [GO:0034704]; cation channel complex [GO:0034703]; caveola [GO:0005901]; cell [GO:0005623]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; cortical cytoskeleton [GO:0030863]; integral component of plasma membrane [GO:0005887]
P56483	reviewed	C-C chemokine receptor type 3 (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR3) (CD antigen CD193)	CCR3	CCR3 CMKBR3	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
Q8WNQ9	reviewed	Hematopoietic cell signal transducer (DNAX-activation protein 10) (Membrane protein DAP10)	HCST	HCST DAP10	3 out of 5	Disulfide bond;Glycoprotein;Membrane;Phosphoprotein;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integral component of membrane [GO:0016021]
Q9XSD7	reviewed	C-C chemokine receptor-like 2	CCRL2	CCRL2	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]
F6YKH5	unreviewed	Aquaporin	AQP11	AQP11	4 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	cell [GO:0005623]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
F6WG11	unreviewed	Potassium voltage-gated channel subfamily A member 5	KCNA5	KCNA5	3 out of 5	Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; intercalated disc [GO:0014704]; membrane raft [GO:0045121]; voltage-gated potassium channel complex [GO:0008076]
F7GJC2	unreviewed	Cadherin 17	CDH17	CDH17	3 out of 5	Reference proteome;Signal	adherens junction [GO:0005912]; basolateral plasma membrane [GO:0016323]; catenin complex [GO:0016342]; cell surface [GO:0009986]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
F6UZ60	unreviewed	Fibrinogen alpha chain	FGA	FGA	3 out of 5	Coiled coil;Disulfide bond;Reference proteome	cell cortex [GO:0005938]; external side of plasma membrane [GO:0009897]; fibrinogen complex [GO:0005577]; platelet alpha granule [GO:0031091]; synapse [GO:0045202]
F7DIQ3	unreviewed	Leptin receptor	LEPR	LEPR	3 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; receptor complex [GO:0043235]
A0A1D5QSM0	unreviewed	TNF receptor superfamily member 1A	TNFRSF1A	TNFRSF1A	3 out of 5	Disulfide bond;Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; receptor complex [GO:0043235]
F7C850	unreviewed	Platelet derived growth factor subunit A	PDGFA	PDGFA	3 out of 5	Disulfide bond;Growth factor;Reference proteome	cell surface [GO:0009986]; extracellular space [GO:0005615]; membrane [GO:0016020]
F7DF99	unreviewed	Integrin beta	ITGB4	ITGB4	3 out of 5	Cell adhesion;Integrin;Membrane;Reference proteome;Signal;Transmembrane	cell leading edge [GO:0031252]; cell surface [GO:0009986]; hemidesmosome [GO:0030056]; integrin complex [GO:0008305]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]
F6WEE3	unreviewed	Potassium voltage-gated channel subfamily H member 2	KCNH2	KCNH2	3 out of 5	Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; inward rectifier potassium channel complex [GO:1902937]; perinuclear region of cytoplasm [GO:0048471]
F7BW06	unreviewed	Integrin beta	ITGB7	ITGB7	3 out of 5	Cell adhesion;Disulfide bond;Integrin;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; focal adhesion [GO:0005925]; integrin alpha4-beta7 complex [GO:0034669]
B3Y660	unreviewed	Toll-like receptor 8	TLR8	TLR8	3 out of 5	Immunity;Innate immunity;Leucine-rich repeat;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6U605	unreviewed	Interleukin 6 receptor	IL6R	IL6R	3 out of 5	Immunoglobulin domain;Membrane;Reference proteome;Transmembrane;Transmembrane helix	apical plasma membrane [GO:0016324]; ciliary neurotrophic factor receptor complex [GO:0070110]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; interleukin-6 receptor complex [GO:0005896]; receptor complex [GO:0043235]
F6YMH2	unreviewed	V-SNARE coiled-coil homology domain-containing protein	VAMP3	VAMP3	3 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; secretory granule [GO:0030141]; SNARE complex [GO:0031201]
F7HNP4	unreviewed	Amino acid transporter	SLC1A3	SLC1A3	3 out of 5	Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]
Q5TM81	unreviewed	MHC class I antigen (MHC class I protein) (Major histocompatibility complex, class I, F)	Mamu-F	Mamu-F HLA-F	3 out of 5	Disulfide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; MHC class Ib protein complex [GO:0032398]
F6YCH7	unreviewed	Elastase, neutrophil expressed	ELANE	ELANE	3 out of 5	Disulfide bond;Hydrolase;Protease;Reference proteome;Serine protease;Signal	cell surface [GO:0009986]; extracellular space [GO:0005615]; secretory granule [GO:0030141]; transcriptional repressor complex [GO:0017053]
F7F3K9	unreviewed	Integrin beta	ITGB8	ITGB8	3 out of 5	Cell adhesion;Integrin;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; focal adhesion [GO:0005925]; integrin alphav-beta8 complex [GO:0034686]
F6SIL6	unreviewed	Prohibitin	PHB2	PHB2	3 out of 5	Coiled coil;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome	cell periphery [GO:0071944]; cell surface [GO:0009986]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; nuclear matrix [GO:0016363]; protein-containing complex [GO:0032991]
F6QJR2	unreviewed	C-C chemokine receptor type 1	CCR1	CCR1	3 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6TJ10	unreviewed	Phospholipase A(2) (EC 3.1.1.4)	PLA2G1B	PLA2G1B	3 out of 5	Calcium;Disulfide bond;Hydrolase;Lipid metabolism;Reference proteome;Secreted;Signal	cell surface [GO:0009986]; extracellular space [GO:0005615]
F7EFL5	unreviewed	Uncharacterized protein	IDE	IDE	3 out of 5	Reference proteome	basolateral plasma membrane [GO:0016323]; cell [GO:0005623]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisome [GO:0005777]
O97665	reviewed	C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CD antigen CDw198)	CCR8	CCR8	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6QBZ7	unreviewed	Amino acid transporter	SLC1A2	SLC1A2	3 out of 5	Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	astrocyte projection [GO:0097449]; axolemma [GO:0030673]; cell body [GO:0044297]; cell surface [GO:0009986]; glutamatergic synapse [GO:0098978]; integral component of presynaptic membrane [GO:0099056]
F6Z0X3	unreviewed	Integrin subunit alpha 4	ITGA4	ITGA4	3 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integrin alpha4-beta7 complex [GO:0034669]
F7DS72	unreviewed	Uncharacterized protein	KCNA1	KCNA1	3 out of 5	Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	axon [GO:0030424]; axon terminus [GO:0043679]; cell surface [GO:0009986]; dendrite [GO:0030425]; integral component of membrane [GO:0016021]; juxtaparanode region of axon [GO:0044224]; neuronal cell body [GO:0043025]; paranode region of axon [GO:0033270]; synapse [GO:0045202]; voltage-gated potassium channel complex [GO:0008076]
F6UZ20	unreviewed	Fibrinogen gamma chain	FGG	FGG	3 out of 5	Coiled coil;Disulfide bond;Reference proteome;Signal	external side of plasma membrane [GO:0009897]; fibrinogen complex [GO:0005577]; platelet alpha granule [GO:0031091]
H9EUW9	unreviewed	Sphingosine 1-phosphate receptor 1	S1PR1	S1PR1	3 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; nucleoplasm [GO:0005654]
G7MLG9	unreviewed	Secreted frizzled-related protein 4	SFRP4	SFRP4	3 out of 5	Developmental protein;Disulfide bond;Reference proteome;Secreted;Signal;Wnt signaling pathway	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; nucleus [GO:0005634]
F7HB21	unreviewed	Cadherin 15	CDH15	CDH15	3 out of 5	Calcium;Cell adhesion;Cell membrane;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	adherens junction [GO:0005912]; catenin complex [GO:0016342]; caveola [GO:0005901]; cell surface [GO:0009986]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]
F7GQB3	unreviewed	Polycystin 2 like 1, transient receptor potential cation channel	PKD2L1	PKD2L1	3 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	calcium channel complex [GO:0034704]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; non-motile cilium [GO:0097730]; receptor complex [GO:0043235]
F7FRT8	unreviewed	Tyrosine-protein kinase receptor (EC 2.7.10.1)	GOPC	GOPC	3 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Receptor;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]
F6WEI9	unreviewed	TNF receptor superfamily member 11a	TNFRSF11A	TNFRSF11A	3 out of 5	Disulfide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F7A7S8	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)	CEL	CEL	3 out of 5	Disulfide bond;Hydrolase;Reference proteome	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; presynapse [GO:0098793]; synapse [GO:0045202]
F7HDR7	unreviewed	P2X purinoceptor	P2RX1	P2RX1	3 out of 5	Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Receptor;Reference proteome;Transmembrane;Transmembrane helix;Transport	external side of plasma membrane [GO:0009897]; integral component of nuclear inner membrane [GO:0005639]; integral component of plasma membrane [GO:0005887]; postsynaptic membrane [GO:0045211]
F7EJY3	unreviewed	Scavenger receptor class A member 5	SCARA5	SCARA5	3 out of 5	Cell membrane;Coiled coil;Disulfide bond;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix;Transport	cell [GO:0005623]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]
F7EF58	unreviewed	Fibroblast activation protein alpha	FAP	FAP	3 out of 5	Coiled coil;Reference proteome	apical part of cell [GO:0045177]; basal part of cell [GO:0045178]; cell surface [GO:0009986]; extracellular space [GO:0005615]; invadopodium membrane [GO:0071438]; lamellipodium [GO:0030027]; peptidase complex [GO:1905368]
F6VRB0	unreviewed	Dipeptidyl peptidase 4	DPP4	DPP4	3 out of 5	Reference proteome	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; endocytic vesicle [GO:0030139]; intercellular canaliculus [GO:0046581]; invadopodium membrane [GO:0071438]; lamellipodium [GO:0030027]
F6PNY6	unreviewed	Carbonic anhydrase (EC 4.2.1.1)	CA4	CA4	3 out of 5	Lyase;Metal-binding;Reference proteome;Zinc	anchored component of external side of plasma membrane [GO:0031362]; apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; perinuclear region of cytoplasm [GO:0048471]; rough endoplasmic reticulum [GO:0005791]; secretory granule membrane [GO:0030667]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]
F7HIN8	unreviewed	Cadherin 26	CDH26	CDH26	3 out of 5	Calcium;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix	adherens junction [GO:0005912]; catenin complex [GO:0016342]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]
F6RDI1	unreviewed	Insulin like growth factor 2 receptor	IGF2R	IGF2R	3 out of 5	Disulfide bond;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; nuclear envelope lumen [GO:0005641]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; trans-Golgi network transport vesicle [GO:0030140]
F7CJY4	unreviewed	Selectin P	SELP	SELP	3 out of 5	Disulfide bond;EGF-like domain;Membrane;Reference proteome;Repeat;Sushi;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; platelet alpha granule membrane [GO:0031092]
