GeneID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
417	P52961	NAR1_HUMAN	reviewed	GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 1) (ARTC1) (Mono(ADP-ribosyl)transferase 1) (CD antigen CD296)	ART1	Homo sapiens (Human)	327	peptidyl-arginine ADP-ribosylation [GO:0018120]; protein ADP-ribosylation [GO:0006471]	anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; plasma membrane [GO:0005886]; sarcoplasmic reticulum membrane [GO:0033017]	NAD(P)+-protein-arginine ADP-ribosyltransferase activity [GO:0003956]; NAD+ ADP-ribosyltransferase activity [GO:0003950]
8516	P53708	ITA8_HUMAN	reviewed	Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain]	ITGA8	Homo sapiens (Human)	1063	brain development [GO:0007420]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cell projection organization [GO:0030030]; establishment of protein localization [GO:0045184]; extracellular matrix organization [GO:0030198]; inner ear morphogenesis [GO:0042472]; integrin-mediated signaling pathway [GO:0007229]; kidney development [GO:0001822]; memory [GO:0007613]; mesodermal cell differentiation [GO:0048333]; metanephros development [GO:0001656]; positive regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation [GO:2000721]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; smooth muscle tissue development [GO:0048745]; substrate adhesion-dependent cell spreading [GO:0034446]	apical part of cell [GO:0045177]; cell surface [GO:0009986]; dendritic spine membrane [GO:0032591]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; integrin alpha8-beta1 complex [GO:0034678]; integrin complex [GO:0008305]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]	metal ion binding [GO:0046872]
9097	P54578	UBP14_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	USP14 TGT	Homo sapiens (Human)	494	chemical synaptic transmission [GO:0007268]; innate immune response [GO:0045087]; negative regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903070]; protein deubiquitination [GO:0016579]; regulation of chemotaxis [GO:0050920]; regulation of proteasomal protein catabolic process [GO:0061136]; ubiquitin-dependent protein catabolic process [GO:0006511]	cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proteasome complex [GO:0000502]; synapse [GO:0045202]	cysteine-type endopeptidase activity [GO:0004197]; endopeptidase inhibitor activity [GO:0004866]; proteasome binding [GO:0070628]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]
3306	P54652	HSP72_HUMAN	reviewed	Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2)	HSPA2	Homo sapiens (Human)	639	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; negative regulation of inclusion body assembly [GO:0090084]; positive regulation of ATPase activity [GO:0032781]; positive regulation of ATPase-coupled calcium transmembrane transporter activity [GO:1901896]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of protein phosphorylation [GO:0001934]; protein refolding [GO:0042026]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]; synaptonemal complex disassembly [GO:0070194]; vesicle-mediated transport [GO:0016192]	blood microparticle [GO:0072562]; CatSper complex [GO:0036128]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; male germ cell nucleus [GO:0001673]; meiotic spindle [GO:0072687]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synaptonemal complex [GO:0000795]	"ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; disordered domain specific binding [GO:0097718]; enzyme binding [GO:0019899]; glycolipid binding [GO:0051861]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; tau protein binding [GO:0048156]; unfolded protein binding [GO:0051082]"
2044	P54756	EPHA5_HUMAN	reviewed	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	EPHA5 BSK EHK1 HEK7 TYRO4	Homo sapiens (Human)	1037	axon guidance [GO:0007411]; cAMP-mediated signaling [GO:0019933]; ephrin receptor signaling pathway [GO:0048013]; hippocampus development [GO:0021766]; multicellular organism development [GO:0007275]; neuron development [GO:0048666]; positive regulation of CREB transcription factor activity [GO:0032793]; positive regulation of kinase activity [GO:0033674]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of GTPase activity [GO:0043087]; regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061178]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	axon [GO:0030424]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; rough endoplasmic reticulum [GO:0005791]	ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]; GPI-linked ephrin receptor activity [GO:0005004]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
2043	P54764	EPHA4_HUMAN	reviewed	Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)	EPHA4 HEK8 SEK TYRO1	Homo sapiens (Human)	986	adherens junction organization [GO:0034332]; adult walking behavior [GO:0007628]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]; cellular response to amyloid-beta [GO:1904646]; cochlea development [GO:0090102]; corticospinal tract morphogenesis [GO:0021957]; ephrin receptor signaling pathway [GO:0048013]; fasciculation of motor neuron axon [GO:0097156]; fasciculation of sensory neuron axon [GO:0097155]; glial cell migration [GO:0008347]; motor neuron axon guidance [GO:0008045]; multicellular organism development [GO:0007275]; negative regulation of axon regeneration [GO:0048681]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of neuron projection development [GO:0010977]; negative regulation of proteolysis involved in cellular protein catabolic process [GO:1903051]; nephric duct morphogenesis [GO:0072178]; neuron projection fasciculation [GO:0106030]; neuron projection guidance [GO:0097485]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902961]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001108]; protein autophosphorylation [GO:0046777]; protein stabilization [GO:0050821]; regulation of astrocyte differentiation [GO:0048710]; regulation of axonogenesis [GO:0050770]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of GTPase activity [GO:0043087]; regulation of modification of synaptic structure [GO:1905244]; synapse pruning [GO:0098883]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	adherens junction [GO:0005912]; axon [GO:0030424]; axonal growth cone [GO:0044295]; axon terminus [GO:0043679]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; filopodium [GO:0030175]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; mitochondrial outer membrane [GO:0005741]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; receptor complex [GO:0043235]; Schaffer collateral - CA1 synapse [GO:0098685]	amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; DH domain binding [GO:0097161]; ephrin receptor binding [GO:0046875]; GPI-linked ephrin receptor activity [GO:0005004]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; PH domain binding [GO:0042731]; protein kinase activity [GO:0004672]; protein tyrosine kinase binding [GO:1990782]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
2013	P54851	EMP2_HUMAN	reviewed	Epithelial membrane protein 2 (EMP-2) (Protein XMP)	EMP2 XMP	Homo sapiens (Human)	167	actin filament organization [GO:0007015]; actin-mediated cell contraction [GO:0070252]; activation of protein kinase activity [GO:0032147]; bleb assembly [GO:0032060]; blood vessel endothelial cell migration [GO:0043534]; cell adhesion [GO:0007155]; cell death [GO:0008219]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; early endosome to late endosome transport [GO:0045022]; embryo implantation [GO:0007566]; membrane raft assembly [GO:0001765]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; protein localization to cell surface [GO:0034394]; protein localization to plasma membrane [GO:0072659]; regulation of angiogenesis [GO:0045765]; regulation of cell-matrix adhesion [GO:0001952]; regulation of endothelial cell migration [GO:0010594]; regulation of glomerular filtration [GO:0003093]; regulation of kinase activity [GO:0043549]; regulation of vasculogenesis [GO:2001212]; T cell mediated cytotoxicity [GO:0001913]	apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	integrin binding [GO:0005178]; kinase binding [GO:0019900]; protein kinase binding [GO:0019901]
2253	P55075	FGF8_HUMAN	reviewed	Fibroblast growth factor 8 (FGF-8) (Androgen-induced growth factor) (AIGF) (Heparin-binding growth factor 8) (HBGF-8)	FGF8 AIGF	Homo sapiens (Human)	233	anatomical structure morphogenesis [GO:0009653]; aorta morphogenesis [GO:0035909]; blood vessel remodeling [GO:0001974]; bone development [GO:0060348]; branching involved in blood vessel morphogenesis [GO:0001569]; branching involved in salivary gland morphogenesis [GO:0060445]; branching involved in ureteric bud morphogenesis [GO:0001658]; cell fate commitment [GO:0045165]; cell migration involved in mesendoderm migration [GO:0090134]; cell proliferation in forebrain [GO:0021846]; corticotropin hormone secreting cell differentiation [GO:0060128]; dopaminergic neuron differentiation [GO:0071542]; dorsal/ventral axon guidance [GO:0033563]; embryonic hindlimb morphogenesis [GO:0035116]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; fibroblast growth factor receptor signaling pathway [GO:0008543]; forebrain dorsal/ventral pattern formation [GO:0021798]; forebrain morphogenesis [GO:0048853]; forebrain neuron development [GO:0021884]; gastrulation [GO:0007369]; gonad development [GO:0008406]; heart looping [GO:0001947]; lung morphogenesis [GO:0060425]; male genitalia development [GO:0030539]; MAPK cascade [GO:0000165]; mesodermal cell migration [GO:0008078]; mesonephros development [GO:0001823]; metanephros development [GO:0001656]; midbrain-hindbrain boundary development [GO:0030917]; motor neuron axon guidance [GO:0008045]; negative regulation of cardiac muscle tissue development [GO:0055026]; negative regulation of neuron apoptotic process [GO:0043524]; neural plate morphogenesis [GO:0001839]; neuroepithelial cell differentiation [GO:0060563]; odontogenesis [GO:0042476]; organ induction [GO:0001759]; otic vesicle formation [GO:0030916]; outflow tract septum morphogenesis [GO:0003148]; pallium development [GO:0021543]; pharyngeal system development [GO:0060037]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of organ growth [GO:0046622]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein kinase B signaling [GO:0051897]; regulation of odontogenesis of dentin-containing tooth [GO:0042487]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to oxidative stress [GO:0006979]; signal transduction involved in regulation of gene expression [GO:0023019]; subpallium development [GO:0021544]; thyroid gland development [GO:0030878]; thyroid-stimulating hormone-secreting cell differentiation [GO:0060129]	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	chemoattractant activity [GO:0042056]; fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; type 1 fibroblast growth factor receptor binding [GO:0005105]; type 2 fibroblast growth factor receptor binding [GO:0005111]
361	P55087	AQP4_HUMAN	reviewed	Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4)	AQP4	Homo sapiens (Human)	323	cellular response to interferon-gamma [GO:0071346]; cellular water homeostasis [GO:0009992]; cerebrospinal fluid circulation [GO:0090660]; multicellular organismal water homeostasis [GO:0050891]; protein homotetramerization [GO:0051289]; renal water homeostasis [GO:0003091]; water homeostasis [GO:0030104]; water transport [GO:0006833]	astrocyte end-foot [GO:0097450]; basolateral plasma membrane [GO:0016323]; cell [GO:0005623]; cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]	identical protein binding [GO:0042802]; water channel activity [GO:0015250]
1002	P55283	CADH4_HUMAN	reviewed	Cadherin-4 (Retinal cadherin) (R-CAD) (R-cadherin)	CDH4	Homo sapiens (Human)	916	adherens junction organization [GO:0034332]; axon guidance [GO:0007411]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cell morphogenesis [GO:0000902]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; multicellular organism development [GO:0007275]; positive regulation of axon extension [GO:0045773]	adherens junction [GO:0005912]; catenin complex [GO:0016342]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cytoskeletal protein binding [GO:0008092]
1004	P55285	CADH6_HUMAN	reviewed	Cadherin-6 (Kidney cadherin) (K-cadherin)	CDH6	Homo sapiens (Human)	790	adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cell morphogenesis [GO:0000902]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; multicellular organism development [GO:0007275]; Notch signaling pathway [GO:0007219]	adherens junction [GO:0005912]; catenin complex [GO:0016342]; cell junction [GO:0030054]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cytoskeletal protein binding [GO:0008092]
1006	P55286	CADH8_HUMAN	reviewed	Cadherin-8	CDH8	Homo sapiens (Human)	799	"adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cell morphogenesis [GO:0000902]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; multicellular organism development [GO:0007275]; regulation of synapse organization [GO:0050807]; response to cold [GO:0009409]; synaptic transmission, glutamatergic [GO:0035249]"	adherens junction [GO:0005912]; axon terminus [GO:0043679]; catenin complex [GO:0016342]; cell surface [GO:0009986]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; synaptic cleft [GO:0043083]; synaptic membrane [GO:0097060]	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]
1009	P55287	CAD11_HUMAN	reviewed	Cadherin-11 (OSF-4) (Osteoblast cadherin) (OB-cadherin)	CDH11	Homo sapiens (Human)	796	adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cell morphogenesis [GO:0000902]; corticospinal tract morphogenesis [GO:0021957]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; modulation of chemical synaptic transmission [GO:0050804]; multicellular organism development [GO:0007275]; ossification [GO:0001503]; skeletal system development [GO:0001501]	adherens junction [GO:0005912]; catenin complex [GO:0016342]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; Schaffer collateral - CA1 synapse [GO:0098685]	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cytoskeletal protein binding [GO:0008092]
1010	P55289	CAD12_HUMAN	reviewed	Cadherin-12 (Brain cadherin) (BR-cadherin) (Neural type cadherin 2) (N-cadherin 2)	CDH12	Homo sapiens (Human)	794	adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cell morphogenesis [GO:0000902]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; multicellular organism development [GO:0007275]	adherens junction [GO:0005912]; catenin complex [GO:0016342]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cytoskeletal protein binding [GO:0008092]
1012	P55290	CAD13_HUMAN	reviewed	Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin)	CDH13 CDHH	Homo sapiens (Human)	713	adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cell morphogenesis [GO:0000902]; endothelial cell migration [GO:0043542]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; keratinocyte proliferation [GO:0043616]; lamellipodium assembly [GO:0030032]; localization within membrane [GO:0051668]; low-density lipoprotein particle mediated signaling [GO:0055096]; mitotic cell cycle [GO:0000278]; multicellular organism development [GO:0007275]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of cell migration [GO:0030335]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transcription by RNA polymerase II [GO:0045944]; Rac protein signal transduction [GO:0016601]; regulation of endocytosis [GO:0030100]; regulation of epidermal growth factor receptor signaling pathway [GO:0042058]; Rho protein signal transduction [GO:0007266]; sprouting angiogenesis [GO:0002040]	adherens junction [GO:0005912]; anchored component of membrane [GO:0031225]; catenin complex [GO:0016342]; caveola [GO:0005901]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; GABA-ergic synapse [GO:0098982]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	adiponectin binding [GO:0055100]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cytoskeletal protein binding [GO:0008092]; lipoprotein particle binding [GO:0071813]; low-density lipoprotein particle binding [GO:0030169]; protein homodimerization activity [GO:0042803]
1013	P55291	CAD15_HUMAN	reviewed	Cadherin-15 (Cadherin-14) (Muscle cadherin) (M-cadherin)	CDH15 CDH14 CDH3	Homo sapiens (Human)	814	adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cell morphogenesis [GO:0000902]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; multicellular organism development [GO:0007275]; positive regulation of muscle cell differentiation [GO:0051149]	adherens junction [GO:0005912]; catenin complex [GO:0016342]; caveola [GO:0005901]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cytoskeletal protein binding [GO:0008092]
2217	P55899	FCGRN_HUMAN	reviewed	IgG receptor FcRn large subunit p51 (FcRn) (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor)	FCGRT FCRN	Homo sapiens (Human)	365	antigen processing and presentation of endogenous peptide antigen via MHC class Ib [GO:0002476]; IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor [GO:0002416]; positive regulation of T cell mediated cytotoxicity [GO:0001916]	endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]	beta-2-microglobulin binding [GO:0030881]; IgG binding [GO:0019864]
2674	P56159	GFRA1_HUMAN	reviewed	GDNF family receptor alpha-1 (GDNF receptor alpha-1) (GDNFR-alpha-1) (GFR-alpha-1) (RET ligand 1) (TGF-beta-related neurotrophic factor receptor 1)	GFRA1 GDNFRA RETL1 TRNR1	Homo sapiens (Human)	465	axon guidance [GO:0007411]; cell surface receptor signaling pathway [GO:0007166]; MAPK cascade [GO:0000165]; nervous system development [GO:0007399]	anchored component of membrane [GO:0031225]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extrinsic component of membrane [GO:0019898]; Golgi apparatus [GO:0005794]; multivesicular body [GO:0005771]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	glial cell-derived neurotrophic factor receptor activity [GO:0016167]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]
3672	P56199	ITA1_HUMAN	reviewed	Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a)	ITGA1	Homo sapiens (Human)	1179	activation of MAPK activity [GO:0000187]; cell-matrix adhesion [GO:0007160]; cellular extravasation [GO:0045123]; extracellular matrix organization [GO:0030198]; integrin-mediated signaling pathway [GO:0007229]; muscle contraction [GO:0006936]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; neuron projection morphogenesis [GO:0048812]; neutrophil chemotaxis [GO:0030593]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; vasodilation [GO:0042311]	acrosomal vesicle [GO:0001669]; basal part of cell [GO:0045178]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integrin alpha1-beta1 complex [GO:0034665]; integrin complex [GO:0008305]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]	collagen binding [GO:0005518]; collagen binding involved in cell-matrix adhesion [GO:0098639]; metal ion binding [GO:0046872]; protein phosphatase binding [GO:0019903]; signaling receptor binding [GO:0005102]
